Started,Page Title,Page ID,Device Name,User Name,Time,Sent,Received,Method,Result,Type,URL,Render Start,DOM Load,HTTP Load,Page Load,Network,Cache Read
,http://172.20.20.90:8080/colline/j_security_check,1,SHA-LRI-PC-155,jeff yang,0.620,4739,57264,,,,,,,0.620,,,
2017-05-03 18:42:27.551000,,1,SHA-LRI-PC-155,jeff yang,0.045,643,207,POST,302,Redirect to http://172.20.20.90:8080/colline/index.do?j_winname=colline609076636664963700a,http://172.20.20.90:8080/colline/j_security_check,,,,,(N/A),(N/A)
2017-05-03 18:42:27.596000,,1,SHA-LRI-PC-155,jeff yang,0.008,519,454,GET,302,Redirect to http://172.20.20.90:8080/colline/index.do?j_winname=colline609076636664963700a,http://172.20.20.90:8080/colline/index.do?j_winname=colline609076636664963700a,,,,,(N/A),(N/A)
2017-05-03 18:42:27.603000,,1,SHA-LRI-PC-155,jeff yang,0.453,519,6751,GET,200,html,http://172.20.20.90:8080/colline/index.do?j_winname=colline609076636664963700a,,,,,(N/A),(N/A)
2017-05-03 18:42:28.061000,,1,SHA-LRI-PC-155,jeff yang,0.001,0,0,GET,(Cache),javascript,http://172.20.20.90:8080/colline/lrsux/com/lombardrisk/infrastructure/release/core/lrsux.min.js,,,,,(N/A),(N/A)
2017-05-03 18:42:28.063000,,1,SHA-LRI-PC-155,jeff yang,0.001,0,0,GET,(Cache),css,http://172.20.20.90:8080/colline/lrsux/com/lombardrisk/infrastructure/release/widget/lrsux-ui.min.css,,,,,(N/A),(N/A)
2017-05-03 18:42:28.066000,,1,SHA-LRI-PC-155,jeff yang,0.001,0,0,GET,(Cache),javascript,http://172.20.20.90:8080/colline/lrsux/com/lombardrisk/infrastructure/release/widget/lrsux-ui.min.js,,,,,(N/A),(N/A)
2017-05-03 18:42:28.068000,,1,SHA-LRI-PC-155,jeff yang,0.001,0,0,GET,(Cache),css,http://172.20.20.90:8080/colline/common/styles/collineCssTheme/topBar_colline.css,,,,,(N/A),(N/A)
2017-05-03 18:42:28.070000,,1,SHA-LRI-PC-155,jeff yang,0.001,0,0,GET,(Cache),css,http://172.20.20.90:8080/colline/common/styles/layout.css,,,,,(N/A),(N/A)
2017-05-03 18:42:28.073000,,1,SHA-LRI-PC-155,jeff yang,0.001,0,0,GET,(Cache),css,http://172.20.20.90:8080/colline/common/styles/application.css,,,,,(N/A),(N/A)
2017-05-03 18:42:28.075000,,1,SHA-LRI-PC-155,jeff yang,0.001,0,0,GET,(Cache),css,http://172.20.20.90:8080/colline/common/styles/content.css,,,,,(N/A),(N/A)
